xml_num,organization,tax_year,form,address,city,website,ein,start_yr,mission,principal_officer,employee_count,volunteer_count,PY_total_revenue,PY_total_expenses,PY_net,CY_total_revenue,CY_total_expenses,CY_net,CY_total_EOY_assets,CY_total_EOY_liabilities,CY_fund_balance,CY_total_salaries,CY_grants_contributions,CY_program_service_rev
468,Safer Society Foundation Inc,2019,990,P O Box 340,Brandon,NA,030347466,1995,To help build a society safe from sexual abuse and personal violence and minimize the harmful impact of parental incarceration on children and families.,Carmelita Brown,NA,NA,318898,366346,-47448,316167,366346,-21544,165637,128313,37324,200565,24017,NA
471,Shires Media Partnership Inc,2016,990EZ,407 Harwood Hill,Bennington,www.wbtnam.org,371568268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33861,NA,NA,NA
472,SPRINGFIELD AREA PUBLIC ACCESS,2019,990,303 SOUTH STREET,SPRINGFIELD,WWW.SAPATV.ORG,030358977,NA,PROVIDE PUBLIC ACCESS TELEVISION,JARED R GUNNELL,NA,20,207212,221034,-13822,205866,221034,-16784,360720,23500,337220,165644,591,204678
474,NA,NA,NA,NA,NA,NA,222582956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475,SPRUCE PEAK ARTS CENTER FOUNDATION INC,2017,990,7320 MOUNTAIN ROAD,STOWE,WWW.SPRUCEPEAKARTS.ORG,900146728,2004,NA,HOPE SULLIVAN,16,42,1040507,1215920,-175413,1216952,1215920,-136529,6764343,71184,NA,429932,745268,471632
478,STOWE VOLUNTEER FIREFIGHTERS INC,2019,990EZ,PO BOX 1132,STOWE,N/A,030324655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89542,NA,NA,NA
480,Studio Place Arts Inc,2018,990,201 North Main Street,Barre,www.studioplacearts.com,030357848,1998,The mission of SPA is to provide the general public with a vital center for the visual arts through: (1) Mounting original exhibits; (2) Teaching a broad spectrum of visual arts and crafts; (3) Creating opportunities for people to see and interact with working artists (4) Renting studios to working artists at reasonable rates.,Darryl Garland,NA,25,125976,115687,10289,92458,115687,-32189,540235,293793,246442,63469,64804,24628
486,TOWN HALL THEATER INC,2019,990,PO BOX 128,MIDDLEBURY,WWW.TOWNHALLTHEATER.ORG,030358794,1998,"COMMUNITY THEATER IN THE HISTORIC MIDDLEBURY TOWN HALL. THE TOWN HALL THEATER PROUDLY PRESENTS OVER 150 EVENTS PER YEAR AND OFFERS PERFORMING ARTS CLASSES AND IN-SCHOOL RESIDENCIES. THE WIDE VARIETY OF OFFERINGS INCLUDE OPERA, THEATER, FILM, LIVE MUSIC AND COMEDY. THE JACKSON GALLERY FEATURES ROTATING EXHIBITS FROM SOME OF VERMONT'S FINEST ARTISTS.",BENJAMIN DEPPMAN,25,170,1526398,991913,534485,892098,991913,-36544,6054384,524410,5529974,433342,433031,253541
487,VERMONT CENTER FOR PHOTOGRAPHY,2018,990EZ,49 FLAT STREET,BRATTLEBORO,WWW.VCPHOTO.ORG,562376766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12135,NA,NA,NA
490,Vermont Community Access Media Inc,2019,990,208 Flynn Avenue,Burlington,www.vermontcam.org,460469007,2001,"VCAM's mission is to promote free speech, civic engagement, government transparency and public dialogue by enabling easy access to the expanding world of media.",Seth Mobley,11,75,808586,784147,24439,765736,784147,79190,2113444,71989,2041455,402361,746643,7161
